wavs/AT-01-Genesisy-ch_01-T0013015.wav|ary aizina no tambonin'ny lalina.
wavs/AT-01-Genesisy-ch_01-T0055941.wav|misia habakabaka eo anelanelan'ny rano;
wavs/AT-01-Genesisy-ch_01-T0025583.wav|misia mazava;
wavs/AT-01-Genesisy-ch_02-T0272872.wav|ary nitanjaka izy mivady,
wavs/AT-01-Genesisy-ch_02-T0080397.wav|ary vovo-tany no namoronan'i jehovah andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy.
wavs/AT-01-Genesisy-ch_02-T0084309.wav|ary nofofoniny fofonaina mahavelona ny vavorony;
wavs/AT-01-Genesisy-ch_03-T0212369.wav|ary hohaninao ny anana famboly.
wavs/AT-01-Genesisy-ch_03-T0272006.wav|ary hohaniny,
wavs/AT-01-Genesisy-ch_03-T0079442.wav|dia nahiratra ny mason'izy mivady,
wavs/AT-01-Genesisy-ch_03-T0169401.wav|izy hanorotoro ny lohanao,
wavs/AT-01-Genesisy-ch_03-T0114755.wav|ka dia niery.
wavs/AT-01-Genesisy-ch_04-T0087067.wav|ary hoy jehovah tamin'i kaina: aiza abela rahalahinao? fa hoy izy: asa; moa mpitandrina ny rahalahiko va aho?
wavs/AT-01-Genesisy-ch_04-T0086914.wav|aiza abela rahalahinao?
wavs/AT-01-Genesisy-ch_04-T0007429.wav|ary adama nahalala an'i eva vadiny;
wavs/AT-01-Genesisy-ch_04-T0193510.wav|ary lameka nampirafy roa:
wavs/AT-01-Genesisy-ch_04-T0170083.wav|ary nanorina vohitra kaina,
wavs/AT-01-Genesisy-ch_04-T0046816.wav|dia tezitra indrindra kaina,
wavs/AT-01-Genesisy-ch_04-T0106908.wav|izay nivava hitelina ny ran'ny rahalahinao nalatsaky ny tananao.
wavs/AT-01-Genesisy-ch_04-T0205764.wav|izy no rain'ny mpitoetra an-day,
wavs/AT-01-Genesisy-ch_04-T0234690.wav|mihainoa ny feoko;
wavs/AT-01-Genesisy-ch_04-T0221187.wav|mpanefy fiasana maranitra,
<<<<<<< HEAD
wavs/AT-01-Genesisy-ch_04-T0196624.wav|ny anaran'ny anankiray ada,
wavs/AT-01-Genesisy-ch_04-T0245349.wav|raha valiana fito heny izay mamono an'i kaina,
wavs/AT-01-Genesisy-ch_04-T0232556.wav|ry ada sy zila ô,
wavs/AT-01-Genesisy-ch_06-T0139496.wav|ary hasianao efitrefitra ny sambo-fiara,
wavs/AT-01-Genesisy-ch_06-T0103545.wav|dia sema sy hama ary jafeta.
wavs/AT-01-Genesisy-ch_06-T0200087.wav|hovelomina miaraka aminao;
wavs/AT-01-Genesisy-ch_07-T0020711.wav|lahy sy vavy;
wavs/AT-01-Genesisy-ch_07-T0117893.wav|sy sema sy hama ary jafeta,
wavs/AT-01-Genesisy-ch_07-T0121218.wav|zanakalahin'i noa,
wavs/AT-01-Genesisy-ch_08-T0109354.wav|nisy ravin'oliva maitso teo am-bavany;
wavs/AT-01-Genesisy-ch_09-T0211166.wav|ary hitan'i hama,
wavs/AT-01-Genesisy-ch_09-T0076341.wav|dia maroa fara sy mihabetsaha;
wavs/AT-01-Genesisy-ch_09-T0243861.wav|ho voaozona anie kanana;
